Code,Section,Subsection,Control Point,Compliance Criteria,Criticality
FV-GFS 10.01,FV 10 COMPLAINTS,-,A complaint procedure relating to both internal and external issues covered by the standard is available and implemented.,"A documented complaint procedure shall be available to facilitate the recording and follow-up of all received complaints relating to issues covered by the standard and to record actions taken with respect to such complaints.

If the producer is informed by a competent and/or local authority that they are under investigation and/or has received a sanction within the scope of the certification, the complaint procedure shall require the producer to notify the GLOBALG.A.P. Secretariat via the certification body (CB).

In case of complaints related to the standard (food safety, workers’ well-being, environmental protection, etc.) that can endanger the reputation and credibility of the GLOBALG.A.P. brand, the certificate holder shall inform the CB immediately.

In the case of producer groups, the producer group members do not need a complete complaint procedure, but only the parts that are relevant to them.

Workers shall be permitted to file complaints to their employer on topics covered under the standard, and such complaints shall be documented and addressed by the certificate holder.",Major Must
FV-GFS 28.01.04,FV 28 SOIL AND SUBSTRATE MANAGEMENT,FV 28.01 Soil management and conservation,Techniques have been used to improve or maintain soil structure and avoid soil compaction.,"There shall be evidence of the application of techniques (use of deep-rooting green crops, drainage, subsoiling, use of low-pressure tires, tramlines, permanent row marking, etc.) that are suitable for use on the land and, where possible, minimize, isolate, or eliminate soil compaction.",Minor Must
FV-GFS 22.03.02,FV 22 BIODIVERSITY AND HABITATS,FV 22.03 Natural ecosystems and habitats are not converted into agricultural areas,"On the farm (within the farm boundaries), areas with legally recognized conservation value (or effectively protected by other means) which had been converted into agricultural areas or into other uses between 1 January 2008 and 1 January 2014 are already restored, under restoration, or will enter binding restoration.","Available evidence, such as maps, aerial photos, or documents issued by local or national authorities or authorized service providers, shall indicate that restoration has been completed, or is in implementation or under planning for binding implementation, to recover the entire extent of the parts of the farm (within the farm boundaries) that fulfils the characteristic below, where those parts of the farm had been converted into agricultural area or into other uses between 1 January 2008 and 1 January 2014:
- Areas where legal protection prevents such conversions (protected areas recognized by national or local legislation, areas with relevant categories of the International Union for Conservation of Nature (IUCN), areas that are protected via other effective means, etc.)",Major Must
FV-GFS 18.01,FV 18 GLOBALG.A.P. STATUS,-,Transaction documentation includes reference to the GLOBALG.A.P. status and the GLOBALG.A.P. Number (GGN).,"Delivery notes, sales invoices, and, where appropriate, other documentation related to sales of materials and products originating from certified production processes shall include the GGN of the certificate holder and a reference to the GLOBALG.A.P. certification status. This is not obligatory in internal documentation.
Where the producer has a Global Location Number (GLN), this shall replace the GGN issued by the GLOBALG.A.P. Secretariat during the registration process.
Positive identification of the certification status is sufficient on transaction documentation (e.g., “GLOBALG.A.P. certified [product name]”). Products originating from noncertified production processes do not need to be identified as “noncertified.”
Indication of the certification status is obligatory regardless of whether the product originating from a certified production process was sold as such or not. This cannot be checked during the initial (first ever) certification body (CB) audit because the producer does not yet have certification and the producer cannot reference the GLOBALG.A.P. certification status before the first positive certification decision.
“N/A” only if there is an up-to-date and documented bilateral agreement available between the certificate holder and their direct buyer that all shipments contain only products originating from certified production processes.",Major Must
FV-GFS 10.02,FV 10 COMPLAINTS,-,"Workers are informed of their rights related to the standard, and there is a grievance mechanism available and implemented through which workers can file complaints confidentially and without fear of retaliation.","Workers shall be informed (in the predominant workforce language) of the general topics covered by the standard, of legal rights granted by prevailing regulations, and of their ability to file complaints to their employer.
The producer shall have a mechanism to resolve the claims and complaints suitable to the size of the farm, type of workers, and working conditions.
The mechanism shall be confidential and simple to use, and a description (i.e., where to file, how to file, time expected to solve the issue) shall be available to the workers all the time that they are present on the farm. (The description can consist of pictograms or signs in the predominant workforce language describing the mechanism.)
Records of the filed complaints shall be kept and checked.",Major Must
FV-GFS 17.01,FV 17 LOGO USE,-,"The GLOBALG.A.P. word, trademark, and QR code or logo, as well as the GLOBALG.A.P. Number (GGN) are used according to “GLOBALG.A.P. trademarks use: Policy and guidelines.”","The producer shall use the GLOBALG.A.P. word, trademark, and QR code or logo, as well as the GGN, Global Location Number (GLN), or sub-GLN according to “GLOBALG.A.P. trademarks use: Policy and guidelines.” The GLOBALG.A.P. word, trademark, or logo shall never appear on the final product, on the consumer packaging, or at the point of sale. However, the certificate holder can use any and/or all in business-to-business communications.

The GLOBALG.A.P. word, trademark, or logo cannot be in use during the initial (first ever) certification body (CB) audit because the producer does not yet have certification, and the producer cannot refer to GLOBALG.A.P. certification status before the first positive certification decision.",Major Must
FV-GFS 03.01,FV 03 RESOURCE MANAGEMENT AND TRAINING,-,The roles and responsibilities of workers whose jobs have an impact on the implementation of the standard are defined.,"Workers with assigned duties that affect food safety and the implementation of activities covered by the standard shall be identified, including:
- Job function, responsibilities, and title
- Position within organizational structure
- Contact information
- Alternate in case of absences

One worker shall be clearly identifiable as responsible for workers’ health, safety, and welfare.",Major Must
FV-GFS 23.02,FV 23 ENERGY EFFICIENCY,-,"Based on the results of the monitoring, there is a plan to improve energy efficiency on the farm.","A documented plan identifying opportunities to improve energy efficiency shall be available.
The plan can be a multiyear plan if the specific reality of the producer requires it.",Minor Must
FV-GFS 02.02,FV 02 CONTINUOUS IMPROVEMENT PLAN,-,There is evidence that a continuous improvement plan is implemented.,"The implementation of identified points in the continuous improvement plan shall be supported by evidence.
Evidence may include new procedures or policies, data sharing (to quantify changes), training, etc.
The continuous improvement plan shall be supported by documented evidence. The evidence kept on file may include:
- Actual outcome of efforts, with date of evaluation
- Comments on why the effort was successful or not successful
- If one or more of the goals are not reached, justification and description of further action
- Sharing of relevant data with the GLOBALG.A.P. Secretariat",Major Must
FV-GFS 32.04.03,FV 32 PLANT PROTECTION PRODUCTS,FV 32.04 Empty containers,Empty containers are kept secure until disposal is possible.,"There shall be a designated secure storage point for all empty plant protection product (PPP) containers prior to disposal that is isolated from the crop and packaging materials (e.g., permanently marked via signage) with physically restricted access for persons and fauna.",Minor Must
